Player,Dismissal,Runs,Balls,4s,6s,Strikerate
Tanzim Hasan Sakib,b Lamichhane,3,5,2,0,128.57
Rishad Hossain,c Sah b Airee,13,7,2,0,100.00
Taskin Ahmed,not out,12,15,0,0,46.15
Mustafizur Rahman,run out (Paudel/Airee),3,4,0,0,60.00
Tanzid Hasan,c & b Sompal Kami,0,1,1,1,185.71
Litton Das †,c †Aasif Sheikh b Sompal Kami,10,12,2,0,80.00
Najmul Hossain Shanto (c),b Airee,4,5,0,0,75.00
Shakib Al Hasan,lbw b Paudel,17,22,0,0,0.00
Towhid Hridoy,c Lamichhane b Paudel,9,7,5,0,158.62
Mahmudullah,run out (Gulsan Jha/Lamichhane),13,13,1,1,85.00
Jaker Ali,b Lamichhane,12,26,3,1,130.76
Tanzim Hasan Sakib,b Lamichhane,3,5,1,5,219.04
Rishad Hossain,c Sah b Airee,13,7,1,2,200.00
Taskin Ahmed,not out,12,15,0,0,0.00
Mustafizur Rahman,run out (Paudel/Airee),3,4,1,2,333.33
Pathum Nissanka,c Engelbrecht b Kingma,0,2,0,0,0.00
Kusal Mendis †,c Engelbrecht b Dutt,46,29,5,0,158.62
Kamindu Mendis,c van Beek b van Meekeren,17,20,1,1,85.00
Dhananjaya de Silva,c de Leede b Pringle,34,26,3,1,130.76
Charith Asalanka,c de Leede b van Beek,46,21,1,5,219.04
Angelo Mathews,not out,30,15,1,2,200.00
Dasun Shanaka,c †Edwards b van Beek,0,1,0,0,0.00
Wanindu Hasaranga (c),not out,20,6,1,2,333.33
Pathum Nissanka,c Engelbrecht b Kingma,0,2,0,0,50.00
Kusal Mendis †,c Engelbrecht b Dutt,46,29,1,0,37.50
Kamindu Mendis,c van Beek b van Meekeren,17,20,2,0,68.00
Dhananjaya de Silva,c de Leede b Pringle,34,26,1,0,44.44
Charith Asalanka,c de Leede b van Beek,46,21,1,0,63.63
Angelo Mathews,not out,30,15,0,0,16.66
Dasun Shanaka,c †Edwards b van Beek,0,1,1,0,71.42
Wanindu Hasaranga (c),not out,20,6,1,1,107.69
Total,20 Ov (RR: 10.05),201/6,,0,0,42.85
Tony Ura,c Phillips b Southee,1,2,0,0,0.00
Assad Vala (c),c Mitchell b Ferguson,6,16,0,0,100.00
Charles Amini,lbw b Ferguson,17,25,0,0,50.00
Sese Bau,c Allen b Santner,12,27,1,0,37.50
Hiri Hiri,b Boult,7,11,2,0,68.00
Chad Soper,b Ferguson,1,6,1,0,44.44
Kiplin Doriga †,b Southee,5,7,1,0,63.63
Norman Vanua,c Mitchell b Boult,14,13,1,0,116.66
Alei Nao,c Mitchell b Sodhi,3,7,8,0,159.25
Kabua Morea,st †Conway b Sodhi,0,3,6,8,184.90
Semo Kamea,not out,1,1,0,2,147.05
Tony Ura,c Phillips b Southee,1,2,1,2,173.33
Assad Vala (c),c Mitchell b Ferguson,6,16,0,0,100.00
Charles Amini,lbw b Ferguson,17,25,0,0,100.00
Sese Bau,c Allen b Santner,12,27,1,0,116.66
Hiri Hiri,b Boult,7,11,8,0,159.25
Brandon King,b Azmatullah Omarzai,7,6,6,8,184.90
Johnson Charles,c Gulbadin Naib b Naveen-ul-Haq,43,27,0,2,147.05
Nicholas Pooran †,run out (Azmatullah Omarzai),98,53,1,2,173.33
Shai Hope,c Najibullah Zadran b Gulbadin Naib,25,17,0,0,100.00
Rovman Powell (c),c sub (Nangeyalia Kharote) b Gulbadin Naib,26,15,0,0,100.00
Andre Russell,not out,3,3,7,5,185.00
Sherfane Rutherford,not out,1,1,0,1,100.00
Brandon King,b Azmatullah Omarzai,7,6,4,1,143.75
Johnson Charles,c Gulbadin Naib b Naveen-ul-Haq,43,27,0,0,0.00
Nicholas Pooran †,run out (Azmatullah Omarzai),98,53,0,3,163.63
Shai Hope,c Najibullah Zadran b Gulbadin Naib,25,17,2,0,125.00
Rovman Powell (c),c sub (Nangeyalia Kharote) b Gulbadin Naib,26,15,7,5,185.00
Andre Russell,not out,3,3,0,1,100.00
Sherfane Rutherford,not out,1,1,4,1,143.75
Total,20 Ov (RR: 10.90),218/5,,0,0,0.00
Quinton de Kock †,c Shayan Jahangir b Harmeet Singh,74,40,0,3,163.63
Reeza Hendricks,c Anderson b Netravalkar,11,11,2,0,125.00
Aiden Markram (c),c Ali Khan b Netravalkar,46,32,3,1,176.92
David Miller,c & b Harmeet Singh,0,1,4,1,111.76
Heinrich Klaasen,not out,36,22,4,1,112.50
Tristan Stubbs,not out,20,16,0,5,211.76
Quinton de Kock †,c Shayan Jahangir b Harmeet Singh,74,40,0,0,50.00
Reeza Hendricks,c Anderson b Netravalkar,11,11,1,2,186.66
Aiden Markram (c),c Ali Khan b Netravalkar,46,32,1,0,71.42
David Miller,c & b Harmeet Singh,0,1,3,1,176.92
Heinrich Klaasen,not out,36,22,4,1,111.76
Tristan Stubbs,not out,20,16,4,1,112.50
Total,20 Ov (RR: 9.70),194/4,,0,5,211.76
Brandon King,retired hurt,23,13,1,0,61.53
Johnson Charles,c Brook b Ali,38,34,0,1,100.00
Nicholas Pooran †,c †Buttler b Archer,36,32,4,0,181.81
Rovman Powell (c),c Wood b Livingstone,36,17,5,3,189.28
Andre Russell,c Salt b Rashid,1,2,0,1,142.85
Sherfane Rutherford,not out,28,15,3,2,133.33
Romario Shepherd,not out,5,7,1,0,140.00
Brandon King,retired hurt,23,13,2,0,200.00
Johnson Charles,c Brook b Ali,38,34,0,0,100.00
Nicholas Pooran †,c †Buttler b Archer,36,32,1,0,61.53
Rovman Powell (c),c Wood b Livingstone,36,17,0,1,100.00
Rohit Sharma (c),c Rashid Khan b Fazalhaq Farooqi,8,13,4,0,181.81
Virat Kohli,c Mohammad Nabi b Rashid Khan,24,24,5,3,189.28
Rishabh Pant †,lbw b Rashid Khan,20,11,0,1,142.85
Suryakumar Yadav,c Mohammad Nabi b Fazalhaq Farooqi,53,28,3,2,133.33
Shivam Dube,lbw b Rashid Khan,10,7,1,0,140.00
Hardik Pandya,c Azmatullah Omarzai b Naveen-ul-Haq,32,24,2,0,200.00
Ravindra Jadeja,c Gulbadin Naib b Fazalhaq Farooqi,7,5,0,0,100.00
Axar Patel,run out (†Rahmanullah Gurbaz/Naveen-ul-Haq),12,6,0,0,0.00
Arshdeep Singh,not out,2,2,2,0,64.00
Rohit Sharma (c),c Rashid Khan b Fazalhaq Farooqi,8,13,5,1,113.88
Virat Kohli,c Mohammad Nabi b Rashid Khan,24,24,0,0,50.00
Rishabh Pant †,lbw b Rashid Khan,20,11,2,2,142.85
Suryakumar Yadav,c Mohammad Nabi b Fazalhaq Farooqi,53,28,0,0,80.00
Shivam Dube,lbw b Rashid Khan,10,7,0,0,66.66
Hardik Pandya,c Azmatullah Omarzai b Naveen-ul-Haq,32,24,0,0,0.00
Ravindra Jadeja,c Gulbadin Naib b Fazalhaq Farooqi,7,5,1,0,185.71
Axar Patel,run out (†Rahmanullah Gurbaz/Naveen-ul-Haq),12,6,0,0,133.33
Arshdeep Singh,not out,2,2,0,0,0.00
Total,20 Ov (RR: 9.05),181/8,,2,0,64.00
Tanzid Hasan,b Starc,0,3,5,1,113.88
Litton Das †,b Zampa,16,25,0,0,50.00
Najmul Hossain Shanto (c),lbw b Zampa,41,36,1,0,76.00
Rishad Hossain,c Zampa b Maxwell,2,4,4,4,171.05
Towhid Hridoy,c Hazlewood b Cummins,40,28,1,0,61.53
Shakib Al Hasan,c & b Stoinis,8,10,4,2,153.57
Mahmudullah,b Cummins,2,3,0,0,50.00
Mahedi Hasan,c Zampa b Cummins,0,1,1,0,109.09
Taskin Ahmed,not out,13,7,0,0,0.00
Tanzim Hasan Sakib,not out,4,3,1,0,250.00
Tanzid Hasan,b Starc,0,3,1,0,76.00
Litton Das †,b Zampa,16,25,4,4,171.05
Najmul Hossain Shanto (c),lbw b Zampa,41,36,1,0,61.53
Rishad Hossain,c Zampa b Maxwell,2,4,4,2,153.57
Reeza Hendricks,c Brook b Ali,19,25,0,0,50.00
Quinton de Kock †,c †Buttler b Archer,65,38,1,0,109.09
Heinrich Klaasen,run out (†Buttler),8,13,0,0,0.00
David Miller,c Brook b Archer,43,28,1,0,250.00
Aiden Markram (c),b Rashid,1,2,0,0,28.57
Tristan Stubbs,not out,12,11,3,1,181.25
Marco Jansen,c Curran b Archer,0,1,2,0,105.26
Keshav Maharaj,not out,5,2,0,1,100.00
Reeza Hendricks,c Brook b Ali,19,25,0,0,46.66
Quinton de Kock †,c †Buttler b Archer,65,38,1,0,90.47
Heinrich Klaasen,run out (†Buttler),8,13,0,0,0.00
David Miller,c Brook b Archer,43,28,3,0,105.88
Aiden Markram (c),b Rashid,1,2,0,0,33.33
Tristan Stubbs,not out,12,11,1,1,233.33
Marco Jansen,c Curran b Archer,0,1,0,0,0.00
Keshav Maharaj,not out,5,2,0,0,28.57
Steven Taylor,c Chase b Russell,2,7,3,1,181.25
Andries Gous †,c Hope b Joseph,29,16,2,0,105.26
Nitish Kumar,lbw b Motie,20,19,3,1,209.09
Aaron Jones (c),b Chase,11,11,1,3,132.14
Corey Anderson,lbw b Chase,7,15,4,2,150.00
Milind Kumar,run out (Motie/Russell),19,21,0,1,300.00
Harmeet Singh,c Charles b Chase,0,1,0,3,141.66
Shadley van Schalkwyk,c Charles b Russell,18,17,4,3,185.18
Nosthush Kenjige,c †Pooran b Joseph,1,3,0,0,60.00
Ali Khan,not out,14,6,3,1,209.09
Saurabh Netravalkar,c Powell b Russell,0,4,1,3,132.14
Steven Taylor,c Chase b Russell,2,7,4,2,150.00
Andries Gous †,c Hope b Joseph,29,16,0,1,300.00
Nitish Kumar,lbw b Motie,20,19,0,3,141.66
Rohit Sharma (c),c Jaker Ali b Shakib Al Hasan,23,11,4,3,185.18
Virat Kohli,b Tanzim Hasan Sakib,37,28,0,0,60.00
Rishabh Pant †,c Tanzim Hasan Sakib b Rishad Hossain,36,24,4,4,122.44
Suryakumar Yadav,c †Litton Das b Tanzim Hasan Sakib,6,2,6,0,106.25
Shivam Dube,b Rishad Hossain,34,24,0,0,66.66
Hardik Pandya,not out,50,27,0,1,144.44
Axar Patel,not out,3,5,0,0,40.00
Rohit Sharma (c),c Jaker Ali b Shakib Al Hasan,23,11,2,0,250.00
Virat Kohli,b Tanzim Hasan Sakib,37,28,0,0,0.00
Rishabh Pant †,c Tanzim Hasan Sakib b Rishad Hossain,36,24,0,0,100.00
Suryakumar Yadav,c †Litton Das b Tanzim Hasan Sakib,6,2,4,4,122.44
Shivam Dube,b Rishad Hossain,34,24,6,0,106.25
Hardik Pandya,not out,50,27,0,0,66.66
Axar Patel,not out,3,5,0,1,144.44
Total,20 Ov (RR: 9.80),196/5,,0,0,40.00
Rahmanullah Gurbaz †,c Warner b Stoinis,60,49,2,0,250.00
Ibrahim Zadran,c Marsh b Zampa,51,48,0,0,0.00
Azmatullah Omarzai,b Zampa,2,3,0,0,100.00
Karim Janat,c David b Cummins,13,9,2,0,92.30
Rashid Khan (c),c David b Cummins,2,5,0,1,160.00
Mohammad Nabi,not out,10,4,1,2,125.00
Gulbadin Naib,c Maxwell b Cummins,0,1,2,0,62.50
Nangeyalia Kharote,not out,1,1,0,1,103.57
Rahmanullah Gurbaz †,c Warner b Stoinis,60,49,0,0,66.66
Ibrahim Zadran,c Marsh b Zampa,51,48,2,1,123.52
Azmatullah Omarzai,b Zampa,2,3,0,0,-
Karim Janat,c David b Cummins,13,9,0,0,0.00
Rashid Khan (c),c David b Cummins,2,5,0,0,0.00
Mohammad Nabi,not out,10,4,0,0,0.00
Gulbadin Naib,c Maxwell b Cummins,0,1,2,0,92.30
Nangeyalia Kharote,not out,1,1,0,1,160.00
Total,20 Ov (RR: 7.40),148/6,,3,2,102.94
Steven Taylor,c Ali b Curran,12,13,0,0,0.00
Andries Gous †,c Salt b Topley,8,5,0,0,33.33
Nitish Kumar,b Rashid,30,24,3,2,123.80
Aaron Jones (c),b Rashid,10,16,0,0,50.00
Corey Anderson,c Brook b Jordan,29,28,0,0,0.00
Milind Kumar,c †Buttler b Livingstone,4,6,0,2,166.66
Harmeet Singh,c Jordan b Curran,21,17,1,0,54.54
Shadley van Schalkwyk,not out,0,0,0,1,157.14
Ali Khan,b Jordan,0,2,1,0,57.14
Nosthush Kenjige,lbw b Jordan,0,1,3,2,102.94
Saurabh Netravalkar,b Jordan,0,1,0,0,0.00
Steven Taylor,c Ali b Curran,12,13,0,0,33.33
Andries Gous †,c Salt b Topley,8,5,3,2,123.80
Kyle Mayers,c Stubbs b Shamsi,35,34,0,0,50.00
Shai Hope,c Stubbs b Jansen,0,1,0,0,0.00
Nicholas Pooran †,c Jansen b Markram,1,3,0,2,166.66
Roston Chase,c Rabada b Shamsi,52,42,1,0,54.54
Rovman Powell (c),st †de Kock b Maharaj,1,2,0,1,157.14
Sherfane Rutherford,c Markram b Shamsi,0,4,7,8,224.39
Andre Russell,run out (Nortje),15,9,0,0,0.00
Akeal Hosein,c & b Rabada,6,11,1,1,107.14
Alzarri Joseph,not out,11,7,3,2,193.75
Gudakesh Motie,not out,4,7,2,1,127.27
Kyle Mayers,c Stubbs b Shamsi,35,34,1,2,158.82
Shai Hope,c Stubbs b Jansen,0,1,0,1,180.00
Nicholas Pooran †,c Jansen b Markram,1,3,7,8,224.39
Roston Chase,c Rabada b Shamsi,52,42,0,0,0.00
Rovman Powell (c),st †de Kock b Maharaj,1,2,1,1,107.14
Sherfane Rutherford,c Markram b Shamsi,0,4,3,2,193.75
Andre Russell,run out (Nortje),15,9,2,1,127.27
Akeal Hosein,c & b Rabada,6,11,1,2,158.82
Alzarri Joseph,not out,11,7,0,1,180.00
Rohit Sharma (c),b Starc,92,41,3,1,78.18
Virat Kohli,c David b Hazlewood,0,5,1,0,62.06
Rishabh Pant †,c Hazlewood b Stoinis,15,14,0,0,83.33
Suryakumar Yadav,c †Wade b Starc,31,16,1,0,133.33
Shivam Dube,c Warner b Stoinis,28,22,0,0,20.00
Hardik Pandya,not out,27,17,1,0,116.66
Ravindra Jadeja,not out,9,5,0,3,190.00
Rohit Sharma (c),b Starc,92,41,3,1,78.18
Virat Kohli,c David b Hazlewood,0,5,1,0,62.06
Rishabh Pant †,c Hazlewood b Stoinis,15,14,0,0,83.33
Suryakumar Yadav,c †Wade b Starc,31,16,1,0,133.33
Shivam Dube,c Warner b Stoinis,28,22,0,0,20.00
Hardik Pandya,not out,27,17,1,0,116.66
Ravindra Jadeja,not out,9,5,0,3,190.00
Total,20 Ov (RR: 10.25),205/5,,0,0,0.00
Rahmanullah Gurbaz †,c Soumya Sarkar b Rishad Hossain,43,55,0,0,40.00
Ibrahim Zadran,c Tanzim Hasan Sakib b Rishad Hossain,18,29,2,0,112.50
Azmatullah Omarzai,c †Litton Das b Mustafizur Rahman,10,12,2,0,83.33
Gulbadin Naib,c Soumya Sarkar b Rishad Hossain,4,3,0,0,0.00
Mohammad Nabi,c Najmul Hossain Shanto b Taskin Ahmed,1,5,0,0,28.57
Karim Janat,not out,7,6,1,0,61.53
Rashid Khan (c),not out,19,10,2,0,100.00
Rahmanullah Gurbaz †,c Soumya Sarkar b Rishad Hossain,43,55,0,0,0.00
Ibrahim Zadran,c Tanzim Hasan Sakib b Rishad Hossain,18,29,0,0,25.00
Azmatullah Omarzai,c †Litton Das b Mustafizur Rahman,10,12,0,0,100.00
Gulbadin Naib,c Soumya Sarkar b Rishad Hossain,4,3,0,0,0.00
Mohammad Nabi,c Najmul Hossain Shanto b Taskin Ahmed,1,5,0,0,40.00
Karim Janat,not out,7,6,2,0,112.50
Rashid Khan (c),not out,19,10,6,2,146.15
Total,20 Ov (RR: 5.75),115/5,,0,1,100.00
Rahmanullah Gurbaz †,c Hendricks b Jansen,0,3,0,0,66.66
Ibrahim Zadran,b Rabada,2,5,4,2,130.55
Gulbadin Naib,b Jansen,9,8,1,2,176.92
Azmatullah Omarzai,c Stubbs b Nortje,10,12,2,0,188.88
Mohammad Nabi,b Rabada,0,3,0,0,0.00
Nangeyalia Kharote,c †de Kock b Jansen,2,7,0,1,166.66
Karim Janat,lbw b Shamsi,8,13,0,0,100.00
Rashid Khan (c),b Nortje,8,8,6,2,146.15
Noor Ahmad,lbw b Shamsi,0,2,0,1,100.00
Naveen-ul-Haq,lbw b Shamsi,2,8,0,0,66.66
Fazalhaq Farooqi,not out,2,2,4,2,130.55
Rahmanullah Gurbaz †,c Hendricks b Jansen,0,3,1,2,176.92
Ibrahim Zadran,b Rabada,2,5,2,0,188.88
Gulbadin Naib,b Jansen,9,8,0,0,0.00
Rohit Sharma (c),b Rashid,57,39,0,1,166.66
Virat Kohli,b Topley,9,9,0,0,100.00
Rishabh Pant †,c Bairstow b Curran,4,6,2,0,180.00
Suryakumar Yadav,c Jordan b Archer,47,36,6,2,128.81
Hardik Pandya,c Curran b Jordan,23,13,0,0,0.00
Ravindra Jadeja,not out,17,9,0,0,75.00
Shivam Dube,c †Buttler b Jordan,0,1,1,4,151.61
Axar Patel,c Salt b Jordan,10,6,3,1,168.75
Arshdeep Singh,not out,1,1,1,0,250.00
Rohit Sharma (c),b Rashid,57,39,0,0,100.00
Virat Kohli,b Topley,9,9,2,0,180.00
Rishabh Pant †,c Bairstow b Curran,4,6,6,2,128.81
Suryakumar Yadav,c Jordan b Archer,47,36,0,0,0.00
Hardik Pandya,c Curran b Jordan,23,13,0,0,75.00
Ravindra Jadeja,not out,17,9,1,4,151.61
Shivam Dube,c †Buttler b Jordan,0,1,3,1,168.75
Axar Patel,c Salt b Jordan,10,6,1,0,250.00
Arshdeep Singh,not out,1,1,0,0,100.00
Total,20 Ov (RR: 8.55),171/7,,,,
Rohit Sharma (c),c Klaasen b Maharaj,9,5,,,
Virat Kohli,c Rabada b Jansen,76,59,,,
Rishabh Pant †,c †de Kock b Maharaj,0,2,,,
Suryakumar Yadav,c Klaasen b Rabada,3,4,,,
Axar Patel,run out (†de Kock),47,31,,,
Shivam Dube,c Miller b Nortje,27,16,,,
Hardik Pandya,not out,5,2,,,
Ravindra Jadeja,c Maharaj b Nortje,2,2,,,
Rohit Sharma (c),c Klaasen b Maharaj,9,5,,,
Virat Kohli,c Rabada b Jansen,76,59,,,
Rishabh Pant †,c †de Kock b Maharaj,0,2,,,
Suryakumar Yadav,c Klaasen b Rabada,3,4,,,
Axar Patel,run out (†de Kock),47,31,,,
Shivam Dube,c Miller b Nortje,27,16,,,
Hardik Pandya,not out,5,2,,,
Ravindra Jadeja,c Maharaj b Nortje,2,2,,,
Total,20 Ov (RR: 8.80),176/7,,,,
