Ali Khan,4,0,41,1,10.25,11,5,2,2,0
Saurabh Netravalkar,2,0,16,0,8.00,3,2,0,0,0
Harmeet Singh,4,0,27,1,6.75,11,3,1,0,0
Jasdeep Singh,3,0,24,0,8.00,7,4,0,0,0
Shadley van Schalkwyk,3,0,34,0,11.33,1,1,2,0,0
Steven Taylor,1,0,15,0,15.00,1,0,2,0,0
Corey Anderson,3,0,29,1,9.66,4,2,1,0,0
Kaleem Sana,4,0,34,1,8.50,9,4,0,3,0
Jeremy Gordon,3,0,44,0,14.66,7,4,3,3,2
Dilon Heyliger,3,0,19,1,6.33,9,0,1,2,0
Saad Bin Zafar,4,0,42,0,10.50,9,2,4,0,0
Nikhil Dutta,2.4,0,41,1,15.37,5,2,4,2,1
Pargat Singh,1,0,15,0,15.00,0,1,1,0,0
Akeal Hosein,3,0,9,1,3.00,13,1,0,0,0,
Romario Shepherd,3,0,23,1,7.66,5,1,0,1,0,
Andre Russell,3,0,19,2,6.33,8,2,0,1,0,
Roston Chase,4,0,26,0,6.50,11,1,1,3,0,
Alzarri Joseph,4,0,34,2,8.50,11,5,0,1,1,
Gudakesh Motie,3,0,24,1,8.00,7,2,1,0,0,
Kabua Morea,3,0,30,0,10.00,7,6,0,0,0,
Alei Nao,2,1,9,1,4.50,9,2,0,0,0,
Chad Soper,3,0,19,1,6.33,8,2,0,0,0,
Sese Bau,1,0,18,0,18.00,1,1,2,0,0,
John Kariko,4,0,17,1,4.25,15,0,1,0,0,
Assad Vala,4,1,28,2,7.00,11,3,1,0,0,
Charles Amini,2,0,14,0,7.00,3,0,1,0,0,
Ruben Trumpelmann,4,0,21,4,5.25,12,2,0,0,1
David Wiese,3.4,0,28,3,7.63,11,4,1,0,0
Tangeni Lungameni,4,0,18,0,4.50,14,2,0,1,0
Bernard Scholtz,4,0,20,1,5.00,11,0,1,1,0
Gerhard Erasmus,4,0,20,2,5.00,9,1,0,0,0
Bilal Khan,4,0,25,1,6.25,11,2,1,1,0
Shakeel Ahmed,3,0,20,0,6.66,10,4,0,0,0
Kaleemullah,2,0,10,0,5.00,7,1,0,0,0
Aqib Ilyas,4,1,17,1,4.25,15,1,1,0,0
Mehran Khan,3,1,7,3,2.33,12,0,0,0,0
Zeeshan Maqsood,2,0,12,0,6.00,4,1,0,0,0
Ayaan Khan,2,0,12,1,6.00,6,1,0,1,0
Marco Jansen,3.1,0,15,0,4.73,11,0,1,1,0,
Kagiso Rabada,4,1,21,2,5.25,15,2,1,1,0,
Ottneil Baartman,4,1,9,1,2.25,20,1,0,1,0,
Keshav Maharaj,4,0,22,2,5.50,10,0,1,0,0,
Anrich Nortje,4,0,7,4,1.75,18,0,0,0,0,
Angelo Mathews,3,0,16,0,5.33,11,1,1,1,0,
Nuwan Thushara,3,0,18,1,6.00,8,0,1,0,1,
Dasun Shanaka,3,1,6,1,2.00,12,0,0,0,0,
Matheesha Pathirana,3,0,12,0,4.00,8,0,0,1,0,
Wanindu Hasaranga,3.2,0,22,2,6.60,10,2,1,0,0,
Maheesh Theekshana,1,0,3,0,3.00,3,0,0,0,0,
Alpesh Ramjani,4,0,33,1,8.25,9,0,2,0,0
Cosmas Kyewuta,4,0,25,2,6.25,9,2,0,0,0
Dinesh Nakrani,3,0,37,0,12.33,2,6,0,0,0
Bilal Hassan,2,0,34,0,17.00,3,4,1,1,1
Henry Ssenyondo,2,0,19,0,9.50,4,0,2,1,0
Riazat Ali Shah,1,0,11,0,11.00,1,1,0,0,0
Brian Masaba,4,0,21,2,5.25,8,0,0,0,0
Fazalhaq Farooqi,4,0,9,5,2.25,18,1,0,0,0
Mujeeb Ur Rahman,3,0,16,1,5.33,13,2,0,1,0
Naveen-ul-Haq,2,0,4,2,2.00,9,0,0,1,0
Azmatullah Omarzai,2,0,7,0,3.50,8,0,0,1,0
Rashid Khan,4,0,12,2,3.00,16,1,0,0,0
Mohammad Nabi,1,0,8,0,8.00,3,0,1,0,0
Mark Wood,2,0,11,0,5.50,7,1,0,1,1
Jofra Archer,2,0,12,0,6.00,6,1,0,0,0
Moeen Ali,2,0,15,0,7.50,3,2,0,0,0
Chris Jordan,2,0,24,0,12.00,5,2,2,0,0
Adil Rashid,2,0,26,0,13.00,2,2,2,0,0
Fazalhaq Farooqi,4,0,9,5,2.25,18,1,0,0,0
Mujeeb Ur Rahman,3,0,16,1,5.33,13,2,0,1,0
Naveen-ul-Haq,2,0,4,2,2.00,9,0,0,1,0
Azmatullah Omarzai,2,0,7,0,3.50,8,0,0,1,0
Rashid Khan,4,0,12,2,3.00,16,1,0,0,0
Mohammad Nabi,1,0,8,0,8.00,3,0,1,0,0
Vivian Kingma,4,0,23,0,5.75,15,4,0,2,0
Tim Pringle,4,0,20,3,5.00,13,1,1,0,0
Logan van Beek,3.2,0,18,3,5.40,14,2,1,0,0
Paul van Meekeren,4,0,19,2,4.75,12,2,0,1,0
Bas de Leede,4,1,22,2,5.50,12,1,1,1,0
Karan KC,3,0,17,0,5.66,10,3,0,0,0
Sompal Kami,4,0,18,1,4.50,12,2,0,0,0
Gulsan Jha,2,0,17,0,8.50,2,2,0,0,1
Dipendra Singh Airee,2,0,6,1,3.00,7,0,0,0,0
Abinash Bohara,3.4,0,29,1,7.90,5,2,1,0,0
Sagar Dhakal,4,0,21,0,5.25,8,1,0,0,0
Arshdeep Singh,4,0,35,2,8.75,14,3,1,5,1,
Mohammed Siraj,3,0,13,1,4.33,14,2,0,0,0,
Jasprit Bumrah,3,1,6,2,2.00,13,0,0,0,0,
Hardik Pandya,4,1,27,3,6.75,14,2,2,0,0,
Axar Patel,1,0,3,1,3.00,3,0,0,0,0,
Ravindra Jadeja,1,0,7,0,7.00,2,1,0,0,0,
Mark Adair,4,0,27,1,6.75,13,3,0,3,0,
Josh Little,4,0,42,0,10.50,12,2,4,3,0,
Barry McCarthy,2.2,0,18,0,7.71,5,1,1,0,0,
Curtis Campher,1,0,4,0,4.00,3,0,0,0,0,
Ben White,1,0,6,1,6.00,3,1,0,0,0,
Alpesh Ramjani,4,1,17,2,4.25,16,1,1,0,0
Cosmas Kyewuta,3.1,0,17,2,5.36,9,2,0,0,0
Juma Miyagi,4,0,11,2,2.75,16,0,0,0,1
Brian Masaba,4,0,17,1,4.25,11,1,0,0,0
Frank Nsubuga,4,2,4,2,1.00,20,0,0,0,0
Alei Nao,4,0,16,2,4.00,16,0,0,3,0
Norman Vanua,4,0,19,2,4.75,17,1,0,6,0
Chad Soper,4,0,13,1,3.25,14,0,0,1,0
Assad Vala,2,0,10,1,5.00,6,1,0,0,0
John Kariko,4,0,18,0,4.50,8,0,0,0,0
Charles Amini,0.2,0,2,0,6.00,1,0,0,0,0
Bilal Khan,4,0,36,1,9.00,9,4,1,1,1
Kaleemullah,3,0,30,1,10.00,7,4,1,0,0
Shakeel Ahmed,4,0,28,0,7.00,10,2,1,0,1
Mehran Khan,4,0,38,2,9.50,12,1,4,0,1
Aqib Ilyas,4,0,18,0,4.50,10,1,0,0,0
Zeeshan Maqsood,1,0,12,0,12.00,0,2,0,0,0
Mitchell Starc,3,0,20,2,6.66,12,3,0,5,0
Josh Hazlewood,4,0,21,0,5.25,12,1,1,0,0
Nathan Ellis,4,0,28,2,7.00,9,2,1,1,0
Marcus Stoinis,3,0,19,3,6.33,11,1,1,1,0
Glenn Maxwell,2,0,11,0,5.50,5,1,0,1,0
Adam Zampa,4,0,24,2,6.00,11,0,2,0,0
Nosthush Kenjige,4,0,30,3,7.50,10,1,2,0,0,
Saurabh Netravalkar,4,0,18,2,4.50,13,0,1,0,0,
Ali Khan,4,0,30,1,7.50,8,2,1,2,0,
Harmeet Singh,4,0,34,0,8.50,9,2,2,1,0,
Jasdeep Singh,3,0,37,1,12.33,4,2,3,1,0,
Corey Anderson,1,0,6,0,6.00,3,1,0,0,0,
Shaheen Shah Afridi,4,0,33,0,8.25,13,5,1,2,0,
Mohammad Amir,4,0,25,1,6.25,12,2,0,3,0,
Naseem Shah,4,0,26,1,6.50,9,3,0,2,0,
Haris Rauf,4,0,37,1,9.25,9,4,1,1,0,
Shadab Khan,3,0,27,0,9.00,4,0,2,1,0,
Iftikhar Ahmed,1,0,10,0,10.00,2,2,0,0,0,
Brad Wheal,4,0,33,3,8.25,8,2,1,1,1
Brad Currie,4,0,16,2,4.00,12,1,0,0,0
Chris Sole,3,0,23,1,7.66,7,3,0,1,1
Mark Watt,4,0,39,0,9.75,8,4,2,0,0
Chris Greaves,3,0,24,1,8.00,5,1,1,0,0
Michael Leask,2,0,16,1,8.00,4,1,1,0,0
Ruben Trumpelmann,4,0,36,1,9.00,9,1,1,4,1
David Wiese,3.3,0,30,0,8.57,10,1,3,0,0
Tangeni Lungameni,3,0,39,1,13.00,4,3,2,1,0
Bernard Scholtz,4,0,20,1,5.00,7,1,0,0,0
Gerhard Erasmus,4,0,29,2,7.25,9,1,1,2,0
Mark Adair,4,0,23,1,5.75,10,2,0,1,0
Josh Little,4,0,37,0,9.25,6,4,0,2,0
Craig Young,4,0,32,2,8.00,13,3,2,1,0
Barry McCarthy,4,0,24,2,6.00,12,4,0,0,0
Gareth Delany,2,0,10,1,5.00,5,0,0,0,0
Curtis Campher,2,0,11,0,5.50,4,0,0,1,0
Kaleem Sana,4,0,38,0,9.50,11,4,1,3,0
Jeremy Gordon,4,0,16,2,4.00,14,1,0,1,0
Junaid Siddiqui,4,0,27,1,6.75,9,1,1,0,0
Saad Bin Zafar,4,0,22,1,5.50,7,0,0,0,0
Dilon Heyliger,4,0,18,2,4.50,12,1,0,1,0
Trent Boult,4,0,22,2,5.50,12,1,1,0,0
Matt Henry,4,0,37,2,9.25,10,3,2,0,0
Mitchell Santner,4,0,24,0,6.00,11,3,0,0,0
Michael Bracewell,3,0,27,0,9.00,6,0,3,0,0
Lockie Ferguson,4,0,28,1,7.00,12,3,1,0,0
Daryl Mitchell,1,0,16,0,16.00,0,0,2,0,0
Fazalhaq Farooqi,3.2,0,17,4,5.10,15,2,0,3,0
Mohammad Nabi,4,0,16,2,4.00,11,0,0,0,0
Naveen-ul-Haq,3,0,10,0,3.33,12,1,0,0,0
Rashid Khan,4,0,17,4,4.25,16,2,0,2,0
Noor Ahmad,1,0,10,0,10.00,1,0,1,0,0
Tanzim Hasan Sakib,4,0,24,1,6.00,14,2,1,0,0
Shakib Al Hasan,3,0,30,0,10.00,5,4,0,0,0
Taskin Ahmed,4,0,25,2,6.25,12,3,0,1,0
Mustafizur Rahman,4,0,17,3,4.25,14,2,0,1,0
Rishad Hossain,4,0,22,3,5.50,10,1,1,0,0
Mahmudullah,1,0,4,0,4.00,2,0,0,0,0
Dhananjaya de Silva,2,0,11,1,5.50,3,0,0,1,0
Nuwan Thushara,4,0,18,4,4.50,14,1,0,5,0
Maheesh Theekshana,4,0,25,0,6.25,8,1,0,3,0
Wanindu Hasaranga,4,0,32,2,8.00,12,0,4,0,0
Matheesha Pathirana,4,0,27,1,6.75,11,1,1,2,0
Dasun Shanaka,1,0,11,0,11.00,2,0,1,1,0
Marco Jansen,4,0,20,2,5.00,15,2,0,1,1,
Kagiso Rabada,4,0,27,0,6.75,12,2,1,1,0,
Ottneil Baartman,4,0,11,4,2.75,17,1,0,1,0,
Anrich Nortje,4,0,19,2,4.75,14,0,1,1,1,
Keshav Maharaj,4,0,24,0,6.00,6,1,0,1,0,
Vivian Kingma,4,1,12,2,3.00,18,0,0,1,0
Logan van Beek,4,1,21,2,5.25,13,1,1,0,0
Paul van Meekeren,4,1,13,0,3.25,17,1,0,1,0
Bas de Leede,3.5,0,34,1,8.86,12,2,2,0,1
Tim Pringle,2,0,14,0,7.00,4,0,1,0,0
Vikramjit Singh,1,0,11,0,11.00,0,0,1,0,0
Moeen Ali,2,0,18,1,9.00,6,2,1,0,0
Will Jacks,1,0,22,0,22.00,1,0,3,0,0
Jofra Archer,4,0,28,1,7.00,11,2,1,1,0
Mark Wood,3,0,32,0,10.66,9,2,3,0,0
Adil Rashid,4,0,41,1,10.25,7,4,2,1,0
Chris Jordan,4,0,44,2,11.00,6,4,2,4,0
Liam Livingstone,2,0,15,1,7.50,2,0,1,0,0
Mitchell Starc,3,0,37,0,12.33,7,3,3,2,0
Josh Hazlewood,4,0,28,1,7.00,10,4,0,0,0
Pat Cummins,4,0,23,2,5.75,10,2,0,1,0
Marcus Stoinis,3,0,24,1,8.00,6,3,0,2,0
Adam Zampa,4,0,28,2,7.00,9,0,2,0,0
Glenn Maxwell,2,0,22,0,11.00,5,0,3,0,0
Alpesh Ramjani,3,0,16,1,5.33,11,1,1,0,0,
Cosmas Kyewuta,4,0,42,1,10.50,15,7,1,2,1,
Juma Miyagi,3,0,29,0,9.66,6,3,1,0,1,
Frank Nsubuga,3,0,29,0,9.66,4,1,2,0,1,
Brian Masaba,4,0,31,2,7.75,10,1,2,2,0,
Dinesh Nakrani,3,0,20,1,6.66,5,2,0,0,0,
Akeal Hosein,4,0,11,5,2.75,19,2,0,0,0,
Romario Shepherd,2,0,9,1,4.50,6,1,0,0,0,
Andre Russell,1,0,4,1,4.00,4,0,0,1,0,
Alzarri Joseph,3,0,6,2,2.00,14,0,0,1,0,
Gudakesh Motie,2,0,6,1,3.00,8,0,0,0,0,
Shaheen Shah Afridi,4,0,29,1,7.25,14,1,2,1,0,
Naseem Shah,4,0,21,3,5.25,15,3,0,1,1,
Mohammad Amir,4,0,23,2,5.75,15,3,0,0,0,
Iftikhar Ahmed,1,0,7,0,7.00,3,1,0,1,0,
Imad Wasim,3,0,17,0,5.66,6,1,0,1,0,
Haris Rauf,3,0,21,3,7.00,10,4,0,0,0,
Arshdeep Singh,4,0,31,1,7.75,11,4,0,1,0,
Mohammed Siraj,4,0,19,0,4.75,11,1,0,1,1,
Jasprit Bumrah,4,0,14,3,3.50,15,1,0,0,0,
Hardik Pandya,4,0,24,2,6.00,11,1,1,1,0,
Ravindra Jadeja,2,0,10,0,5.00,5,1,0,0,0,
Axar Patel,2,0,11,1,5.50,6,0,1,0,0,
Mark Watt,4,0,25,1,6.25,8,2,0,2,0
Brad Wheal,4,0,19,1,4.75,12,2,0,0,0
Chris Sole,4,0,41,1,10.25,7,2,3,0,0
Safyaan Sharif,4,0,40,2,10.00,6,6,0,0,0
Michael Leask,3,0,21,0,7.00,8,1,1,1,0
Chris Greaves,1,0,2,1,2.00,4,0,0,0,0
Bilal Khan,2.1,0,12,1,5.53,8,2,0,0,0
Shakeel Ahmed,2,0,23,0,11.50,5,2,2,0,0
Kaleemullah,2,0,17,0,8.50,6,2,1,0,0
Aqib Ilyas,3,0,41,1,13.66,6,4,3,0,0
Mehran Khan,1,0,16,1,16.00,3,1,1,1,0
Zeeshan Maqsood,2,0,22,0,11.00,4,2,1,0,0
Ayaan Khan,1,0,20,0,20.00,1,0,3,0,0
Tanzim Hasan Sakib,4,0,18,3,4.50,17,1,1,2,0,
Taskin Ahmed,4,0,19,2,4.75,14,1,1,0,0,
Mustafizur Rahman,4,0,18,0,4.50,16,1,1,1,0,
Rishad Hossain,4,0,32,1,8.00,10,2,2,0,0,
Shakib Al Hasan,1,0,6,0,6.00,1,0,0,0,0,
Mahmudullah,3,0,17,0,5.66,8,0,1,0,0,
Marco Jansen,4,0,17,0,4.25,17,2,0,2,0,
Kagiso Rabada,4,0,19,2,4.75,12,2,0,0,0,
Ottneil Baartman,4,0,27,0,6.75,11,2,1,0,0,
Keshav Maharaj,4,0,27,3,6.75,12,0,2,2,0,
Anrich Nortje,4,0,17,2,4.25,14,1,0,1,1,
Shaheen Shah Afridi,4,0,21,1,5.25,16,2,1,1,0,
Naseem Shah,4,0,24,1,6.00,13,2,1,1,0,
Mohammad Amir,4,0,13,2,3.25,17,2,0,0,0,
Haris Rauf,4,0,26,2,6.50,14,1,1,3,0,
Imad Wasim,4,0,19,0,4.75,16,0,2,1,0,
Kaleem Sana,3,0,21,0,7.00,8,1,0,1,0,
Jeremy Gordon,3.3,0,17,1,4.85,11,1,0,1,0,
Dilon Heyliger,4,0,18,2,4.50,10,0,0,1,0,
Saad Bin Zafar,4,0,23,0,5.75,7,1,0,1,0,
Junaid Siddiqui,3,0,28,0,9.33,3,0,2,1,0,
Shaheen Shah Afridi,4,0,21,1,5.25,16,2,1,1,0,
Naseem Shah,4,0,24,1,6.00,13,2,1,1,0,
Mohammad Amir,4,0,13,2,3.25,17,2,0,0,0,
Haris Rauf,4,0,26,2,6.50,14,1,1,3,0,
Imad Wasim,4,0,19,0,4.75,16,0,2,1,0,
Kaleem Sana,3,0,21,0,7.00,8,1,0,1,0,
Jeremy Gordon,3.3,0,17,1,4.85,11,1,0,1,0,
Dilon Heyliger,4,0,18,2,4.50,10,0,0,1,0,
Saad Bin Zafar,4,0,23,0,5.75,7,1,0,1,0,
Junaid Siddiqui,3,0,28,0,9.33,3,0,2,1,0,
Josh Hazlewood,4,0,18,2,4.50,16,2,0,1,0,
Marcus Stoinis,3,0,9,2,3.00,14,1,0,2,0,
Pat Cummins,3,1,16,1,5.33,11,1,1,0,0,
Adam Zampa,4,0,12,4,3.00,17,0,1,0,0,
Nathan Ellis,3,1,12,1,4.00,13,2,0,0,0,
Ruben Trumpelmann,2,0,19,0,9.50,5,4,0,0,0,
David Wiese,1,0,15,1,15.00,3,2,1,1,0,
Ben Shikongo,1,0,19,0,19.00,1,3,1,0,0,
Gerhard Erasmus,1,0,6,0,6.00,5,0,1,0,0,
Jack Brassell,0.4,0,14,0,21.00,1,2,1,0,0,
Arshdeep Singh,4,0,9,4,2.25,17,0,0,1,0,
Mohammed Siraj,4,0,25,0,6.25,11,1,1,0,0,
Jasprit Bumrah,4,0,25,0,6.25,14,1,1,1,0,
Hardik Pandya,4,1,14,2,3.50,19,1,1,0,0,
Shivam Dube,1,0,11,0,11.00,3,1,1,0,0,
Axar Patel,3,0,25,1,8.33,5,0,2,1,0,
Saurabh Netravalkar,4,0,18,2,4.50,13,0,1,0,0,
Ali Khan,3.2,0,21,1,6.30,8,2,0,1,0,
Jasdeep Singh,4,0,24,0,6.00,11,1,1,0,1,
Shadley van Schalkwyk,4,0,25,0,6.25,8,1,1,0,0,
Corey Anderson,3,0,17,0,5.66,8,0,1,1,0,
Trent Boult,4,1,16,3,4.00,15,2,0,0,0,
Tim Southee,4,0,21,2,5.25,14,2,1,0,0,
Lockie Ferguson,4,0,27,2,6.75,11,2,1,2,0,
James Neesham,4,0,27,1,6.75,9,0,2,1,0,
Glenn Phillips,1,0,9,0,9.00,2,0,1,0,0,
Mitchell Santner,2,0,27,1,13.50,4,2,2,0,0,
Daryl Mitchell,1,0,19,0,19.00,2,0,3,0,0,
Akeal Hosein,4,0,21,1,5.25,11,1,1,0,0
Romario Shepherd,3,0,36,0,12.00,7,1,4,2,0
Andre Russell,4,0,30,1,7.50,11,2,2,0,0
Alzarri Joseph,4,0,19,4,4.75,13,2,0,0,0
Gudakesh Motie,4,0,25,3,6.25,11,1,1,0,0
Roston Chase,1,0,4,0,4.00,3,0,0,1,0
Vivian Kingma,2,0,20,0,10.00,6,2,1,1,0,
Aryan Dutt,4,0,17,2,4.25,12,1,0,1,0,
Paul van Meekeren,4,0,15,2,3.75,13,1,0,0,0,
Logan van Beek,4,0,43,0,10.75,9,7,1,1,0,
Bas de Leede,3,0,31,0,10.33,5,5,0,0,0,
Tim Pringle,3,0,26,1,8.66,6,3,1,0,0,
Mustafizur Rahman,4,0,12,1,3.00,17,1,0,1,0,
Tanzim Hasan Sakib,3,0,23,1,7.66,9,4,0,0,0,
Taskin Ahmed,4,0,30,2,7.50,13,3,2,0,0,
Shakib Al Hasan,4,0,29,0,7.25,10,1,2,0,0,
Rishad Hossain,4,0,33,3,8.25,11,2,2,0,0,
Mahmudullah,1,0,6,1,6.00,3,1,0,0,0,
Reece Topley,3,0,12,0,4.00,11,0,1,0,0
Jofra Archer,3.2,1,12,3,3.60,15,2,0,1,0
Mark Wood,3,0,12,3,4.00,10,1,0,0,0
Adil Rashid,4,0,11,4,2.75,20,1,0,3,0
